,Time,Lagoon,Precipitation,Discharge,NDVI,Temperature,PixelPercentage,SOI,ENSO
2,2001-03-31,mallorquin,-71.25117810875027,-2061.188034188034,-0.0013732518378742,3.811929166173545,89.8936170212766,1.5,Nina
3,2001-04-30,mallorquin,-70.25449969368243,-1780.897970085471,-0.1728376692165237,-7.8146678934103875,11.199763593380617,0.3,Neutral
7,2001-08-31,mallorquin,-65.36778603341106,-333.91666666666697,-0.0919085799688077,2.0813435044887427,50.797872340425535,-0.7,Neutral
8,2001-09-30,mallorquin,-49.750373931623926,-1007.75,0.0503933558361932,4.006657909972677,47.78368794326241,0.3,Neutral
10,2001-11-30,mallorquin,59.52045940170941,914.375,0.1800919851222916,1.141541110553554,86.37706855791963,1.1,Neutral
12,2002-01-31,mallorquin,115.0039797008547,3002.958333333334,0.0364054189248362,-0.423987939752763,75.79787234042553,0.7,Neutral
14,2002-03-31,mallorquin,-68.98333333333332,-2440.541666666666,-0.0805666227429911,-1.9667946718502665,90.54373522458629,-0.4,Neutral
17,2002-06-30,mallorquin,-62.15833333333333,283.1666666666679,0.0197038083637363,-0.0331883276517075,93.52836879432624,-0.4,Nino
18,2002-07-31,mallorquin,10.85833333333334,2013.416666666667,0.0278392173319846,4.2172878666542815,92.6418439716312,-0.8,Nino
21,2002-10-31,mallorquin,-9.824999999999989,-550.3749999999991,0.0792353712847975,3.3841378369398853,56.50118203309693,-0.6,Nino
22,2002-11-30,mallorquin,170.60416666666669,-3.375,0.1323459580185561,0.767232979018516,56.885342789598106,-0.7,Nino
24,2003-01-31,mallorquin,-34.2375,1174.541666666667,-0.0635095439623941,-2.860966666405776,27.955082742316783,-0.3,Nino
25,2003-02-28,mallorquin,-43.3625,-1545.541666666666,-0.0935221681101332,-1.321257047925947,91.40070921985816,-1.1,Nino
26,2003-03-31,mallorquin,-46.641666666666666,-2649.5,-0.1081891566063805,0.3869065151776105,91.51891252955082,-0.5,Nino
27,2003-04-30,mallorquin,-47.11666666666667,-2699.208333333333,-0.1257080653087256,-5.717859286893283,92.49408983451536,-0.2,Neutral
34,2003-11-30,mallorquin,9.739236111111111,1093.750000000001,0.0429895462737435,2.121186924360611,44.14893617021277,-0.5,Neutral
35,2003-12-31,mallorquin,153.76423611111113,3219.166666666668,0.1703463520824294,1.6620708032044789,81.47163120567376,1.8,Neutral
36,2004-01-31,mallorquin,133.43506944444448,4330.083333333333,0.096542435222978,-1.4390914443967162,74.17257683215131,-2.2,Neutral
37,2004-02-29,mallorquin,53.93506944444445,1585.375000000001,-0.0085107288200197,-1.213629234750055,78.98936170212765,2.0,Neutral
38,2004-03-31,mallorquin,-84.78993055555556,-2942.041666666666,-0.110840207231191,-0.1822472411104243,93.17375886524822,0.7,Neutral
39,2004-04-30,mallorquin,-90.89826388888888,-3715.125,-0.0564750921576732,4.199743737081466,92.87825059101657,-1.5,Neutral
40,2004-05-31,mallorquin,-92.90243055555555,-3033.833333333333,-0.043871710550019,2.9959251913514464,87.5,1.7,Neutral
42,2004-07-31,mallorquin,24.91007502475631,898.5000000000009,0.0835130988675206,7.816873581256832,77.27541371158392,-0.8,Nino
43,2004-08-31,mallorquin,-41.44958012592228,-409.66666666666606,-0.0924951971640269,-13.069107089859756,15.218676122931443,-0.5,Nino
44,2004-09-30,mallorquin,88.3584034930723,-645.6666666666661,0.0248860205208372,-7.4509857283307,86.70212765957447,-0.6,Nino
45,2004-10-31,mallorquin,33.45840349307229,-389.2500000000009,0.0804761479575147,4.5197304564431775,71.36524822695036,-0.1,Nino
47,2004-12-31,mallorquin,49.00500462658583,3366.625,0.0599225175046889,-9.586106392244185,72.04491725768321,-1.3,Nino
48,2005-01-31,mallorquin,30.84196366608225,4249.333333333333,0.0908673439862842,5.031003213174426,93.49881796690308,0.6,Nino
49,2005-02-28,mallorquin,-60.08774396108797,99.25,0.0092220818956301,3.394269679504621,94.1193853427896,-5.2,Nino
50,2005-03-31,mallorquin,-63.03780377188497,-2528.458333333333,-0.0800228081222029,3.0254141298290023,75.97517730496453,0.5,Nino
51,2005-04-30,mallorquin,-63.20863710521829,-3290.541666666666,-0.3360587965118095,-5.527518168952579,54.107565011820334,-1.0,Neutral
52,2005-05-31,mallorquin,-63.7586371052183,-2660.125,-0.068346557098271,-4.4411698373586646,40.27777777777778,-1.3,Neutral
54,2005-07-31,mallorquin,49.49705977173481,1290.250000000001,0.0798493871940323,6.47358810730951,75.79787234042553,0.3,Neutral
55,2005-08-31,mallorquin,30.074276354037323,974.291666666668,0.0930481034561123,7.515061789198292,82.21040189125296,-0.6,Neutral
57,2005-10-31,mallorquin,59.12045940170941,-1170.0416666666652,-0.0525309679725546,-0.8024261418480236,49.734042553191486,2.0,Nina
58,2005-11-30,mallorquin,-32.57954059829059,-75.33333333333212,0.047765867865826,-18.97662418345112,25.206855791962173,-0.3,Nina
59,2005-12-31,mallorquin,177.49168892450143,2309.208333333335,0.1133970161671525,4.260658170955583,74.85224586288416,0.0,Nina
